"","day","temp","wdsp","NUM_TRIPS"
"2",6,20,7.4,0.631126420297479
"3",7,30,10.8,0.724950660264508
"6",3,30.4,5.7,0.716044377280602
"8",5,37.9,16.4,0.799993968657121
"9",6,25.7,13.8,0.872611336914164
"10",7,21.6,6.9,0.809791550088627
"11",1,28.8,9,0.678651726806974
"12",2,26.9,5.8,0.694680020506566
"13",3,23.4,3.3,0.7414246031879
"14",4,28.9,9.7,0.819553948686675
"15",5,15.6,7.5,0.814985206456218
"16",6,8.1,4.9,0.896659641269129
"17",7,10.2,3.6,0.85615414772099
"18",1,27.3,5.6,0.703593004982559
"20",3,29.8,4.1,0.726507081801763
"21",4,23.4,8.4,0.801277304391823
"22",5,25.1,10.1,0.8347395297563
"23",6,30.1,5.1,0.870178695286505
"24",7,36.9,11.8,0.917419188382293
"25",1,15.1,8.7,0.771882884724284
"26",2,19.3,3.4,0.7272475966774
"27",3,20.8,3.2,0.790420887210537
"28",4,29.8,7.3,0.762608019675581
"29",5,36.4,13.8,0.843302361270737
"30",6,26.7,4.7,0.901962196883136
"31",7,25.7,10.1,0.903987722866496
"32",1,30.4,9.8,0.720004959104145
"33",2,38.1,3.6,0.675798566550843
"34",3,34.2,15.4,0.757865038650856
"36",5,8.3,10.2,0.897123719596168
"37",6,12.8,6.7,0.915906326543605
"38",7,22.8,6.7,0.85999075194092
"39",1,46.2,15.4,0.713439172231697
"40",2,33.6,7.6,0.680533170710459
"41",3,29.2,3.5,0.746666845373122
"42",4,45.7,5.1,0.776054563548574
"43",5,49,14.7,0.854731756025479
"44",6,39.1,16.7,0.920094759098113
"45",7,31.4,12.5,0.904172013898895
"46",1,31,6,0.756680549924441
"47",2,28.3,5.7,0.655801314162598
"48",3,29.8,9,0.754688531401517
"49",4,25.6,4.8,0.816962146621945
"50",5,41.3,8.6,0.85061703988393
"51",6,27.4,16.8,0.941512727808847
"52",7,30.1,13.1,0.87499539272419
"53",1,34.9,5.8,0.745995020791379
"54",2,32.6,18.4,0.762447183865488
"55",3,26.1,10.3,0.816106031007804
"56",4,27.1,2.4,0.816042366832975
"57",5,33.7,5.8,0.839335077955107
"58",6,46,9.6,0.88208389597944
"59",7,46.9,13.2,0.883663772739
"60",1,32.1,13.3,0.72328031336177
"62",3,19.2,8,0.792181704256453
"63",4,18.9,8.6,0.817912083125308
"64",5,25.6,7.1,0.716536936949012
"65",6,41.3,12.4,0.883012052633519
"66",7,51.1,9.5,0.822753911158319
"67",1,52.7,8.8,0.686753830740414
"68",2,39.6,7.9,0.681618812428587
"69",3,36.5,6.5,0.796345006215634
"70",4,43.8,11,0.811245773871553
"71",5,38.8,9.3,0.886788343424664
"72",6,29,6.2,0.925807781102462
"73",7,32.8,4.5,0.863457098723031
"74",1,42,5,0.700441628328547
"75",2,36.7,7,0.630665692716483
"76",3,36.6,4.7,0.772487694385155
"77",4,40.7,9,0.75397649786725
"78",5,44.5,8.7,0.831889720246213
"79",6,36,11.4,0.872195844404757
"80",7,30.6,5.4,0.840191193569248
"81",1,37.8,7.7,0.700582359662379
"82",2,29.3,10,0.703313217687918
"83",3,29.7,14.8,0.761547508552779
"84",4,39.5,10.9,0.787616312772039
"85",5,37.5,4.2,0.863338147238483
"86",6,43.5,7.7,0.862173762988329
"87",7,43.4,5,0.860429699672632
"88",1,48.3,5.9,0.718549059948198
"89",2,44.1,10.8,0.715908672065835
"90",3,44.3,10.4,0.771901313827524
"91",4,36.2,4.1,0.648977519844793
"92",5,50.2,4.2,0.831157582235685
"93",6,52.9,9.3,0.904488659400015
"94",7,51.1,14.1,0.895654417456047
"95",1,50.8,12.1,0.739167875727531
"96",2,47.5,7.8,0.747280031899102
"97",3,48.9,13,0.821691724662496
"98",4,43.1,12.7,0.814554635589614
"99",5,46.9,9.1,0.798234826984228
"100",6,50.5,5.3,0.797264786004604
"101",7,44.9,11.8,0.817236907797521
"102",1,40.2,11.6,0.680570028916938
"103",2,41.3,12.1,0.695395404786876
"104",3,46.5,2.9,0.807804557684769
"105",4,46.1,10.5,0.826860250434759
"106",5,43.7,8.8,0.872187467539648
"107",6,47.5,7,0.88574458603208
"108",7,56.6,5.2,0.873857814442386
"109",1,49,9,0.735229073753271
"110",2,44.1,8.7,0.802125043140855
"111",3,54.7,13.8,0.78311123471641
"112",4,55.9,7.9,0.837450283305578
"113",5,51,13,0.869828542324949
"114",6,54.6,8.9,0.882271537757882
"115",7,59.9,9.4,0.860131483274751
"116",1,71.7,6.3,0.746276483459042
"118",3,60.6,12.8,0.788448973163875
"119",4,50.5,10.6,0.825610422160494
"120",5,45,5.2,0.865985236612932
"121",6,52.1,13,0.898939823951803
"122",7,52.7,8.3,0.854733431398501
"123",1,48.2,4.6,0.771794089954128
"124",2,49.9,2.9,0.774377515153749
"125",3,50.4,8,0.867442811141901
"126",4,50.4,5.5,0.866918419386076
"127",5,57.6,10.7,0.877198508247861
"128",6,61.9,7,0.88278085115651
"129",7,58.9,6.7,0.839931510750869
"130",1,63.1,14.3,0.708471691222051
"131",2,53.6,7.4,0.729036895064686
"132",3,53.4,3,0.791566842357451
"133",4,52.9,4.1,0.842424465807312
"134",5,57.3,10.1,0.891760850553376
"135",6,60.8,11.1,0.896095040560781
"136",7,60.6,5.5,0.882165989257508
"137",1,62.6,9.6,0.765240030692834
"138",2,49.6,7.6,0.783478141408185
"139",3,49.9,3.8,0.826149892273515
"140",4,61.4,8.1,0.844488525370174
"141",5,66.2,13,0.866665438059784
"142",6,66.3,12.3,0.830876119568022
"143",7,60.6,6.8,0.676364842632212
"146",3,54.4,9.4,0.744637968643719
"147",4,52,5.3,0.803961251972752
"148",5,52.5,8.9,0.869520273688937
"149",6,57.2,4.5,0.877806668654776
"150",7,66.4,6.3,0.810223796328252
"151",1,64.7,7.5,0.685813946475183
"153",3,62.1,8.5,0.789486029064371
"154",4,61.6,4.3,0.84761644680188
"155",5,59.9,4.8,0.873753941315034
"156",6,58,5.2,0.924432299851562
"157",7,58.2,9,0.773714067437115
"158",1,67.6,8.4,0.70363991542717
"159",2,64.2,4.9,0.643760408254898
"160",3,57.5,5.4,0.80709084877748
"161",4,59.7,5.8,0.854389979929031
"162",5,59.2,6.4,0.883568276476758
"163",6,66.6,6.7,0.888328011231701
"164",7,67.1,4.6,0.81354773640351
"165",1,62.4,5.6,0.668458757342322
"166",2,59.1,5.8,0.72932840997048
"167",3,57.2,7.8,0.798938483653385
"168",4,58.7,3.3,0.847954872152285
"169",5,62.3,5.3,0.894722910055924
"170",6,68.2,9.3,0.872376784691111
"171",7,68.4,3.6,0.820949534413837
"172",1,62.2,10.6,0.676497197100934
"173",2,59.2,17.7,0.700001005223813
"174",3,60.1,17.4,0.79067386853683
"175",4,61.1,5.6,0.832889917940229
"176",5,65.5,3.4,0.865097288911376
"177",6,68.8,7.5,0.874661993492851
"178",7,71.6,5.3,0.791809771445612
"179",1,65.9,6.5,0.692220572910558
"180",2,66.6,5.8,0.722260011191492
"181",3,67.4,3.3,0.772405601107086
"182",4,66.9,5.6,0.665823395579026
"183",5,67.6,5.7,0.769359772953448
"188",3,66,5.2,0.701262561109231
"189",4,64.3,7,0.754837639600457
"190",5,61.8,9.4,0.815966975046994
"191",6,61,3.6,0.806221330179164
"192",7,63,4.9,0.742052868071076
"193",1,67.8,7.9,0.633706494751056
"194",2,67,7.9,0.66563240305454
"195",3,68.1,6.2,0.758773090828673
"196",4,68.4,7.9,0.812993187933293
"197",5,71,10.6,0.836148518467637
"198",6,75.5,6.9,0.865209538903837
"199",7,74.7,8.4,0.7352927379281
"200",1,71.5,6.8,0.655789586551446
"201",2,70.2,3.4,0.688429203762218
"202",3,68.6,6.3,0.800504957428771
"203",4,72.7,6.4,0.814452437835284
"204",5,67.2,4.1,0.842029077774166
"205",6,66,10.3,0.820842310540442
"206",7,70.4,6.6,0.753319751642703
"207",1,72.9,8.3,0.687313405329697
"208",2,74.8,11.2,0.706317161516012
"209",3,73.5,7.3,0.78677192476905
"210",4,74.5,8.9,0.819508713615086
"211",5,76.2,12.5,0.846601170750668
"212",6,74.1,7.9,0.834377649183591
"213",7,72.5,3.6,0.735192215546791
"214",1,71.1,5.7,0.660427019075797
"215",2,74.8,5.5,0.699345934372288
"216",3,73.7,5.9,0.780311686396976
"217",4,74.3,10,0.817225180186368
"218",5,70.8,4.8,0.825509899779186
"219",6,70,5.5,0.813941449063634
"220",7,64.9,4.2,0.700748221591537
"222",2,75,7.7,0.699704464198954
"223",3,76.5,3.8,0.766851739539809
"224",4,68.2,6.6,0.779963208808441
"225",5,66.5,7.9,0.825900261693266
"226",6,68.2,4,0.824353892394142
"227",7,72.5,5.4,0.742366162826153
"228",1,75.3,6.5,0.672020600386676
"229",2,74.2,7.5,0.703313217687918
"230",3,76.5,7.5,0.778395059660033
"231",4,76.8,8.9,0.789506133540633
"232",5,76.8,4.5,0.835190205099165
"233",6,79.8,9.3,0.814501023652916
"234",7,79.2,9,0.704893094447479
"236",2,75.4,4.5,0.641666191977644
"237",3,71.6,4.2,0.71484481019699
"238",4,75.3,9.8,0.774548403201973
"239",5,68.8,4.8,0.780874611732302
"240",6,63.8,3,0.82359997453433
"241",7,66,8.6,0.71097972463569
"242",1,60.4,4.1,0.639442971977711
"243",2,64.2,4.5,0.635080300628935
"244",3,59.7,4.5,0.696864706926997
"245",4,58.8,3.3,0.736021525192584
"246",5,58.9,1.6,0.766531743292644
"247",6,59.8,4.4,0.75179348681984
"248",7,65.3,2.5,0.659882522843711
"251",3,61.8,2.1,0.72353999618015
"252",4,61.6,7.2,0.818873747239823
"253",5,57.4,8.8,0.888597746288211
"254",6,61,8.5,0.921041344855432
"255",7,66,6.1,0.870302672890119
"256",1,65.1,6,0.769046478198371
"257",2,63.4,6,0.775895403111503
"258",3,65.7,5.1,0.839247958557973
"259",4,60.4,7.3,0.873261381646624
"260",5,55.8,8.8,0.8965959770943
"261",6,57.2,9.4,0.892486287071817
"262",7,57.3,6.3,0.825530004255447
"263",1,52.3,4.1,0.692223923656602
"264",2,58.5,3.6,0.725243850543324
"265",3,59.5,5,0.759969307166241
"266",4,67.8,8.2,0.787602909787864
"267",5,69.9,8.6,0.82823573168566
"268",6,55.8,10.3,0.89492395481854
"269",7,50.5,5,0.896403309196793
"270",1,58.3,8.8,0.757308814807617
"271",2,65.2,10.8,0.658542224426269
"272",3,61.2,10.6,0.769173806548028
"273",4,56.8,7.5,0.845234066364876
"274",5,48.9,7.3,0.876235168760324
"275",6,51.4,5.6,0.916480979490083
"276",7,59,9.3,0.875973810568923
"277",1,62.6,4.6,0.730727346443686
"278",2,59.8,7.2,0.736984864680121
"279",3,56.6,9.9,0.798308543397187
"280",4,59.7,12.7,0.842176510600085
"281",5,56.1,13,0.882164313884486
"282",6,52.5,4,0.914259434863172
"283",7,63.1,8.9,0.90765176366518
"284",1,48.1,7,0.776780000067015
"285",2,46,6.5,0.691510214749314
"286",3,48.9,6.1,0.806221330179164
"287",4,42.9,7.3,0.854527360516819
"288",5,38.8,4.8,0.893531719837422
"289",6,42.6,15.5,0.922535777590881
"290",7,46.4,11.5,0.906604655526553
"291",1,47.3,16.7,0.79143616326175
"292",2,42.7,10,0.758550266216773
"293",3,42.4,4.7,0.793031118378507
"294",4,52.9,5.3,0.844315961948928
"295",5,57,7.7,0.884101045097691
"296",6,49.5,12,0.938483653385426
"297",7,54.7,13.5,0.907594800982439
"298",1,59.9,11.6,0.749803143669938
"299",2,47,5.2,0.751188677158969
"300",3,44.8,4.8,0.820239176252593
"301",4,52.6,10,0.858084177442108
"302",5,48.4,14.1,0.877139870192098
"303",6,44,3,0.927318967568129
"304",7,55.3,10.2,0.909482946378011
"305",1,55.9,9.9,0.808203296463958
"306",2,47.2,9.3,0.760311083262688
"307",3,49.6,7.7,0.792841801227043
"308",4,45.1,7.2,0.84382507765354
"309",5,42.7,3.2,0.906760465217581
"310",6,40.4,7.5,0.913111804343237
"311",7,37.3,6.8,0.905912726468548
"312",1,51.3,9.3,0.749322311612681
"313",2,45.9,5.1,0.733237055230347
"314",3,57.3,9,0.798995446336127
"315",4,49.6,12,0.813140620759212
"316",5,47.2,15.7,0.89422699964147
"317",6,49.9,17.8,0.926302016143894
"318",7,57.4,15.7,0.907179308473032
"319",1,59.2,6.7,0.738625054868466
"320",2,53.9,5.8,0.740107759992762
"321",3,42.9,6.2,0.799022252304476
"322",4,42.2,2.9,0.845413331278209
"323",5,41.9,3.1,0.889968201420046
"324",6,56.9,12.1,0.927270381750497
"325",7,47.7,7.2,0.901963872256158
"326",1,44.7,8.2,0.756449348447432
"327",2,47.4,11.9,0.745666647679106
"328",3,48.4,14.1,0.795750248792894
"329",4,48.9,10.3,0.788324995560261
"332",7,44.3,19,0.709160269534012
"333",1,44,12.6,0.656990829008079
"334",2,51.5,11.1,0.754820885870239
"335",3,38.3,7.9,0.815695564617462
"336",4,41,6.2,0.844555540291046
"337",5,55.2,16.9,0.893335701193871
"338",6,46.9,6.4,0.940378500273086
"339",7,41.5,5.1,0.966306573158514
"340",1,34.3,12.6,0.760974530979323
"341",2,32,3.5,0.78409635405323
"342",3,34,6.2,0.845870708113161
"343",4,36.9,10,0.868987505068003
"344",5,45.3,16.1,0.933926638766121
"345",6,28.2,20,1
"346",7,26,15.5,0.944419500001675
"347",1,31.4,6,0.813304807315349
"348",2,41.6,9.6,0.783940544362202
"349",3,42.9,4.8,0.851761319657822
"350",4,35.2,10.8,0.915943184750085
"351",5,23.8,12.6,0.949149078042226
"352",6,16,8.2,0.974938094966844
"353",7,23.8,8,0.818940762160695
"355",2,24.1,12.5,0.712770698395998
"356",3,23.3,10.7,0.762445508492466
"357",4,19.5,9.7,0.764127583006356
"358",5,24.9,8.9,0.641056356197707
"362",2,35.2,6.6,0.62902717790116
"363",3,26.3,17.5,0.748918546714426
"364",4,17.2,12.2,0.719798888222463
"365",5,27.1,1.6,0.772683713028706
"366",6,33,4.8,0.683891477564746
"367",7,31.3,7.6,0.698809738564539
"368",1,20.7,18.8,0.662981065415026
"369",2,27.6,12.4,0.679577332956661
"370",3,24.1,5.6,0.757764609378457
"371",4,27.3,8.7,0.798212055098519
"372",5,27.1,9.4,0.838513143250023
"373",6,26.5,5.2,0.904547635984901
"374",7,22.2,8.1,0.904746750351428
"375",1,16,6.1,0.758392585457504
"376",2,22.2,7.3,0.762434436914782
"377",3,27.4,7.5,0.840114567343202
"378",4,19.9,9,0.855182589575937
"379",5,26,4.8,0.864450767696502
"380",6,32.5,6.5,0.891016368222028
"381",7,34.5,9.6,0.836629215012883
"382",1,34.3,6.5,0.810453334059448
"384",3,34.3,5.7,0.762878615117035
"385",4,34.8,4.9,0.82808601740634
"386",5,32,6.6,0.873514725953962
"387",6,27.7,6.2,0.930240196595655
"388",7,32.2,12.1,0.923790252585934
"389",1,26.6,3.1,0.763954173062719
"390",2,48.3,17.4,0.722591141623071
"391",3,43,14.1,0.798697077273393
"392",4,33.7,8.6,0.843387190649453
"393",5,30.7,5.1,0.902165070915347
"394",6,19.7,22.2,1
"395",7,13,12.7,0.984807744017209
"396",1,21.3,7.4,0.798513279396598
"404",2,25.4,10.8,0.714590828485948
"405",3,27.4,9.5,0.771915344059414
"407",5,32.4,13.6,0.775526631971981
"408",6,27.4,6.5,0.872614456724109
"409",7,24.7,5.9,0.910839309600716
"410",1,29.4,12.2,0.831664970507248
"411",2,32.1,14.3,0.700036759575359
"412",3,32.8,6.6,0.775031398803952
"413",4,31.5,11.9,0.824595559579443
"414",5,34.7,11,0.852032498187549
"415",6,34.3,13.9,0.89430941351459
"416",7,34.9,8.7,0.86935034257882
"417",1,34.8,10.1,0.741576781563031
"418",2,33.5,8.9,0.725761654997771
"419",3,33.9,7.2,0.846144158801366
"420",4,41,16.4,0.820643905228369
"421",5,40,7.9,0.776299263787394
"423",7,33,7.5,0.825810667764916
"424",1,32.9,4.2,0.737126490379543
"432",2,41.1,7.9,0.722769834003288
"433",3,41.8,7.1,0.770441557380676
"434",4,35.4,3.3,0.808719167055252
"435",5,37,4.7,0.864923877046028
"436",6,42.4,8.2,0.909151092065718
"437",7,40.7,14.9,0.952147882410203
"438",1,46.7,23.5,0.691633112208604
"439",2,43,16.8,0.74022893046654
"440",3,39.7,15.5,0.77647795616761
"441",4,39.7,5.3,0.803586441162556
"442",5,46.7,9.2,0.875100833557408
"443",6,48.4,5.4,0.871698871004523
"444",7,49.4,5.7,0.864934088039183
"445",1,48.6,7.5,0.744937900143294
"446",2,44.9,2.8,0.729786488133124
"447",3,48.2,9,0.754633238144186
"448",4,44.5,14,0.772912617724242
"449",5,46.5,10,0.819318177950381
"450",6,42.4,15.2,0.895395182453429
"451",7,30.9,11.3,0.868989554154002
"452",1,31.6,6.3,0.745033202746076
"453",2,47.1,16.8,0.694461557312603
"454",3,50.7,16.2,0.778098100414907
"455",4,44.9,9,0.768140680256364
"456",5,47.1,10.3,0.869055925609511
"457",6,46.1,3.1,0.877056238746635
"458",7,48,5.6,0.843696924108495
"459",1,51,8.9,0.687952049176143
"460",2,55,7.5,0.716168426928431
"461",3,56.2,7.3,0.805739258886117
"462",4,59.1,9.8,0.86635341608776
"463",5,55.7,7,0.904916933570682
"464",6,55.3,12.8,0.966329250070626
"465",7,45.6,15.1,0.922580249897039
"466",1,51.8,14.6,0.765092698799528
"467",2,47.9,4.6,0.750737744255465
"468",3,43.6,5.2,0.837829006708622
"469",4,44.8,5.6,0.857614507779075
"470",5,48.4,10.9,0.914947532513504
"471",6,40.8,5.6,0.981385359478014
"472",7,40,7.9,0.917685780511298
"473",1,41.4,4.3,0.784689296496608
"474",2,45.6,6,0.768598473116157
"475",3,51,7.3,0.843553970204322
"476",4,52.4,5.5,0.882605913526503
"477",5,54.4,9.1,0.901029948842924
"478",6,50.2,7.7,0.939050581856427
"479",7,49.2,7.1,0.908060217630301
"480",1,49.9,9.7,0.823690184853013
"481",2,48.1,9.4,0.830233729633323
"482",3,46.9,7.9,0.864280584477248
"483",4,41.7,12.8,0.89530158168284
"484",5,48.9,14.9,0.907299498640236
"485",6,52.9,10,0.940696253586611
"486",7,60.1,4.2,0.926514885926188
"487",1,60.9,8.5,0.78566955183951
"488",2,60.6,13.6,0.797660661468137
"489",3,63.9,8.6,0.845420880119537
"490",4,61.9,11.6,0.898706947900109
"491",5,57.9,13.4,0.940041048192484
"492",6,57.8,10.8,0.928674510978519
"493",7,54.3,10.2,0.924617343031508
"494",1,49,14.8,0.796595314515607
"495",2,44.8,9.2,0.807104128304533
"496",3,42.8,5.8,0.871734609480567
"497",4,46.6,5.8,0.921332806899908
"498",5,46.7,6,0.912532632632292
"499",6,53.1,9.7,0.971104591202889
"500",7,60.6,10.2,0.936281700879167
"501",1,58.6,5.5,0.805468667567503
"502",2,56.5,6.8,0.820672836375642
"503",3,51.4,5.1,0.895339021991076
"504",4,52.4,9.6,0.890842781338389
"505",5,59.7,7.6,0.917353923233753
"506",6,61.7,7,0.954989942171742
"507",7,62,9.3,0.906943815711996
"508",1,64.7,7.2,0.757832682666158
"509",2,63.4,5.8,0.795863526672816
"510",3,65.4,7.6,0.857633227933193
"511",4,76.9,7.5,0.894084771665175
"512",5,61.6,8.4,0.905063291139241
"513",6,59.4,6,0.84999540505308
"514",7,60.1,10.1,0.697259369437136
"517",3,65.3,13,0.738052287092284
"518",4,63.3,7.1,0.806733128886559
"519",5,62.1,9.3,0.86237793608599
"520",6,66.7,6.2,0.879120561196184
"521",7,65.4,7.8,0.846077787345857
"522",1,70.2,11.5,0.762368065459273
"523",2,63,8.6,0.792464967784317
"524",3,59.7,6.3,0.859176789731825
"525",4,58.1,4.9,0.906651100574879
"526",5,55.2,8.7,0.898135132283416
"527",6,58.8,6,0.920589106231769
"528",7,59.8,7.6,0.865136606070095
"529",1,61.9,6.6,0.699262425927754
"530",2,60.5,5.7,0.770378589589552
"531",3,63.8,7,0.840928043131235
"532",4,62.7,7.1,0.878684892154894
"533",5,66.4,10.1,0.906404334906961
"534",6,67,5.3,0.919304222926403
"535",7,68.4,7.3,0.841310955374556
"536",1,68.7,11.1,0.733583275754678
"537",2,72.5,5.4,0.777883669558647
"538",3,70.8,5.4,0.853043386509917
"539",4,72.6,8.4,0.89231826984932
"540",5,72.9,9,0.929607115020031
"541",6,70.9,6.3,0.921322595906753
